x   y
706 1726
706 1780
706 1834
706 1888
706 1942
706 1996
804 52
804 106
804 160
804 214
804 268
804 322
804 376
804 430
804 484
804 538
804 592
804 646
804 700
804 754
804 808
804 862
804 916
804 970
804 1024
804 1078
804 1132
804 1186
804 1240
804 1294
804 1348
804 1402
804 1456
804 1510
804 1564
804 1618
804 1672
804 1726
804 1780
804 1834
804 1888
804 1942
804 1996
902 52
902 106
902 160
902 214
902 268
902 322
902 376
902 430
902 484
902 538
902 592
902 646
902 700
902 754
902 808
902 862
902 916
902 970
902 1024
902 1078
902 1132
902 1186
902 1240
902 1294
902 1348
902 1402
902 1456
902 1510
902 1564
902 1618
902 1672
902 1726
902 1780
902 1834
902 1888
902 1942
902 1996
1000 52
1000 106
1000 160
1000 214
1000 268
1000 322
1000 376
1000 430
1000 484
1000 538
1000 592
1000 646
1000 700
1000 754
1000 808
1000 862
1000 916
1000 970
1000 1024
1000 1078
1000 1132
1000 1186
1000 1240
1000 1294
1000 1348
1000 1402
1000 1456
1000 1510
1000 1564
1000 1618
1000 1672
1000 1726
1000 1780
1000 1834
1000 1888
1000 1942
1000 1996
1098 52
1098 106
1098 160
1098 214
1098 268
1098 322
1098 376
1098 430
1098 484
1098 538
1098 592
1098 646
1098 700
1098 754
1098 808
1098 862
1098 916
1098 970
1098 1024
1098 1078
1098 1132
1098 1186
1098 1240
1098 1294
1098 1348
1098 1402
1098 1456
1098 1510
1098 1564
1098 1618
1098 1672
1098 1726
1098 1780
1098 1834
1098 1888
1098 1942
1098 1996
1196 52
1196 106
1196 160
1196 214
1196 268
1196 322
1196 376
1196 430
1196 484
1196 538
1196 592
1196 646
1196 700
1196 754
1196 808
1196 862
1196 916
1196 970
1196 1024
1196 1078
1196 1132
1196 1186
1196 1240
1196 1294
1196 1348
1196 1402
1196 1456
1196 1510
1196 1564
1196 1618
1196 1672
1196 1726
1196 1780
1196 1834
1196 1888
1196 1942
1196 1996
1294 52
1294 106
1294 160
1294 214
1294 268
1294 322
1294 376
1294 430
1294 484
1294 538
1294 592
1294 646
1294 700
1294 754
1294 808
1294 862
1294 916
1294 970
1294 1024
1294 1078
1294 1132
1294 1186
1294 1240
1294 1294
1294 1348
1294 1402
1294 1456
1294 1510
1294 1564
1294 1618
1294 1672
1294 1726
1294 1780
1294 1834
1294 1888
1294 1942
1294 1996
1392 52
1392 106
1392 160
1392 214
1392 268
1392 322
1392 376
1392 430
1392 484
1392 538
1392 592
1392 646
1392 700
1392 754
1392 808
1392 862
1392 916
1392 970
1392 1024
1392 1078
1392 1132
1392 1186
1392 1240
1392 1294
1392 1348
1392 1402
1392 1456
1392 1510
1392 1564
1392 1618
1392 1672
1392 1726
1392 1780
1392 1834
1392 1888
1392 1942
1392 1996
1490 52
1490 106
1490 160
1490 214
1490 268
1490 322
1490 376
1490 430
1490 484
1490 538
1490 592
1490 646
1490 700
1490 754
1490 808
1490 862
1490 916
1490 970
1490 1024
1490 1078
1490 1132
1490 1186
1490 1240
1490 1294
1490 1348
1490 1402
1490 1456
1490 1510
1490 1564
1490 1618
1490 1672
1490 1726
1490 1780
1490 1834
1490 1888
1490 1942
1490 1996
1588 52
1588 106
1588 160
1588 214
1588 268
1588 322
1588 376
1588 430
1588 484
1588 538
1588 592
1588 646
1588 700
1588 754
1588 808
1588 862
1588 916
1588 970
1588 1024
1588 1078
1588 1132
1588 1186
1588 1240
1588 1294
1588 1348
1588 1402
1588 1456
1588 1510
1588 1564
1588 1618
1588 1672
1588 1726
1588 1780
1588 1834
1588 1888
1588 1942
1588 1996
1686 52
1686 106
1686 160
1686 214
1686 268
1686 322
1686 376
1686 430
1686 484
1686 538
1686 592
1686 646
1686 700
1686 754
1686 808
1686 862
1686 916
1686 970
1686 1024
1686 1078
1686 1132
1686 1186
1686 1240
1686 1294
1686 1348
1686 1402
1686 1456
1686 1510
1686 1564
1686 1618
1686 1672
1686 1726
1686 1780
1686 1834
1686 1888
1686 1942
1686 1996
1784 52
1784 106
1784 160
1784 214
1784 268
1784 322
1784 376
1784 430
1784 484
1784 538
1784 592
1784 646
1784 700
1784 754
1784 808
1784 862
1784 916
1784 970
1784 1024
1784 1078
1784 1132
1784 1186
1784 1240
1784 1294
1784 1348
1784 1402
1784 1456
1784 1510
1784 1564
1784 1618
1784 1672
1784 1726
1784 1780
1784 1834
1784 1888
1784 1942
1784 1996
1882 52
1882 106
1882 160
1882 214
1882 268
1882 322
1882 376
1882 430
1882 484
1882 538
1882 592
1882 646
1882 700
1882 754
1882 808
1882 862
1882 916
1882 970
1882 1024
1882 1078
1882 1132
1882 1186
1882 1240
1882 1294
1882 1348
1882 1402
1882 1456
1882 1510
1882 1564
1882 1618
1882 1672
1882 1726
1882 1780
1882 1834
1882 1888
1882 1942
1882 1996
1980 52
1980 106
1980 160
1980 214
1980 268
1980 322
1980 376
1980 430
1980 484
1980 538
1980 592
1980 646
1980 700
1980 754
1980 808
1980 862
1980 916
1980 970
1980 1024
1980 1078
1980 1132
1980 1186
1980 1240
1980 1294
1980 1348
1980 1402
1980 1456
1980 1510
1980 1564
1980 1618
1980 1672
1980 1726
1980 1780
1980 1834
1980 1888
1980 1942
1980 1996
2018 52
2018 106
2018 160
2018 214
2018 268
2018 322
2018 376
2018 430
2018 484
2018 538
2018 592
2018 646
2018 700
2018 754
2018 808
2018 862
2018 916
2018 970
2018 1024
2018 1078
2018 1132
2018 1186
2018 1240
2018 1294
2018 1348
2018 1402
2018 1456
2018 1510
2018 1564
2018 1618
2018 1672
2018 1726
2018 1780
2018 1834
2018 1888
2018 1942
2018 1996
